year,exchange,shares
2011,CBOE,2279587458
2011,CBOE BYX,44107229553
2011,CBOE BZX,179254194485
2011,CBOE EDGA,70529415091
2011,CBOE EDGX,116283415964
2011,NASDAQ,357008770375
2011,NASDAQ BX,42439971182
2011,NASDAQ PSX,20132395142
2011,NYSE,261098721957
2011,NYSE American,7094157173
2011,NYSE Arca,258781500537
2011,NYSE Chicago,6669094060
2011,NYSE National,11128900171
2011,TRF,598050394017
2012,CBOE,5870618302
2012,CBOE BYX,48281467307
2012,CBOE BZX,142420877742
2012,CBOE EDGA,41591724497
2012,CBOE EDGX,108539440328
2012,NASDAQ,274188152314
2012,NASDAQ BX,42465398137
2012,NASDAQ PSX,17480853119
2012,NYSE,189999331759
2012,NYSE American,3679834372
2012,NYSE Arca,192509058500
2012,NYSE Chicago,6482848743
2012,NYSE National,5934204401
2012,TRF,529895618683
2013,CBOE,6466669114
2013,CBOE BYX,30644209899
2013,CBOE BZX,130862771512
2013,CBOE EDGA,46746788460
2013,CBOE EDGX,118846591143
2013,NASDAQ,243678348550
2013,NASDAQ BX,38393777611
2013,NASDAQ PSX,10822014080
2013,NYSE,181473723022
2013,NYSE American,4541995991
2013,NYSE Arca,164876156786
2013,NYSE Chicago,6788300541
2013,NYSE National,6915826948
2013,TRF,568173516771
2014,CBOE,1337468758
2014,CBOE BYX,49820688928
2014,CBOE BZX,126137464813
2014,CBOE EDGA,43553998475
2014,CBOE EDGX,109721208938
2014,NASDAQ,276442932358
2014,NASDAQ BX,40426493500
2014,NASDAQ PSX,9146270966
2014,NYSE,184131863286
2014,NYSE American,5359311059
2014,NYSE Arca,173719267240
2014,NYSE Chicago,7234066450
2014,NYSE National,2281588457
2014,TRF,587163925911
2015,CBOE BYX,71164937580
2015,CBOE BZX,124228016333
2015,CBOE EDGA,46394050890
2015,CBOE EDGX,125947606577
2015,NASDAQ,276587915247
2015,NASDAQ BX,34336935529
2015,NASDAQ PSX,16783654968
2015,NYSE,220935920526
2015,NYSE American,4137257595
2015,NYSE Arca,194356592094
2015,NYSE Chicago,9406272602
2015,NYSE National,89891
2015,TRF,617528528400
2016,CBOE BYX,80323228461
2016,CBOE BZX,120218490618
2016,CBOE EDGA,47619284313
2016,CBOE EDGX,134070630592
2016,IEX,9946425335
2016,NASDAQ,259238558432
2016,NASDAQ BX,43967659253
2016,NASDAQ PSX,18440988988
2016,NYSE,246183921164
2016,NYSE American,3933144105
2016,NYSE Arca,198773042229
2016,NYSE Chicago,8145542534
2016,NYSE National,171038744
2016,TRF,680903206117
2017,CBOE BYX,79853122809
2017,CBOE BZX,97841379328
2017,CBOE EDGA,29462869556
2017,CBOE EDGX,104794580561
2017,IEX,36108931684
2017,NASDAQ,232097001482
2017,NASDAQ BX,51099888852
2017,NASDAQ PSX,12728860426
2017,NYSE,214880675921
2017,NYSE American,4124442282
2017,NYSE Arca,152435803492
2017,NYSE Chicago,7495567015
2017,NYSE National,21988449
2017,TRF,615416781236
2018,CBOE BYX,86710123567
2018,CBOE BZX,118772042635
2018,CBOE EDGA,25114356202
2018,CBOE EDGX,107180041908
2018,IEX,45012536718
2018,NASDAQ,292204762984
2018,NASDAQ BX,52343126938
2018,NASDAQ PSX,13961953922
2018,NYSE,235369526628
2018,NYSE American,6243412417
2018,NYSE Arca,168908766444
2018,NYSE Chicago,9581329550
2018,NYSE National,8612797378
2018,TRF,667757729843
2019,CBOE BYX,67093010113
2019,CBOE BZX,98287675780
2019,CBOE EDGA,39204714116
2019,CBOE EDGX,84667767059
2019,IEX,48272458893
2019,NASDAQ,304453561598
2019,NASDAQ BX,31052935189
2019,NASDAQ PSX,12453472622
2019,NYSE,239063467055
2019,NYSE American,6153885421
2019,NYSE Arca,147945423803
2019,NYSE Chicago,7923022100
2019,NYSE National,24844897852
2019,TRF,660171947028
